nome,data_nascimento,altura,posicao,id_time
Gustavo Thiago,2014-09-28,1.75,lateral-direito,18
Willian Bruno,1976-09-18,1.88,volante,10
Henrique Victor,2008-09-26,1.91,goleiro,10
Paulo Thiago,1982-05-05,1.51,meio-campista,13
Nathan Otávio,1983-06-02,1.64,atacante,16
Nathan Rafael,2001-12-02,1.8,goleiro,4
Eduardo André,1952-04-03,1.85,lateral-direito,1
Eduardo Carlos,1961-04-02,1.52,lateral-direito,5
André Eduardo,2019-06-01,1.9,meio-campista,5
João Igor,1964-08-23,1.78,zagueiro,15
Lucas Henrique,1992-03-17,2.01,atacante,14
André Willian,1965-01-03,1.62,lateral-direito,3
Eduardo Eduardo,1969-03-06,1.77,lateral-esquerdo,16
Bruno Diego,2014-06-04,1.82,lateral-direito,11
Bruno João,1957-07-26,1.51,lateral-esquerdo,19
Paulo Eduardo,1990-11-10,1.63,lateral-direito,6
Lucas Carlos,2016-04-21,1.9,lateral-esquerdo,18
Thiago Otávio,1979-03-25,1.72,lateral-esquerdo,6
Thiago Victor,2019-09-18,1.99,atacante,16
Paulo João,1997-06-26,1.56,atacante,17
Willian Thiago,1958-05-12,2.06,volante,16
Samuel Paulo,1952-05-04,2.06,atacante,12
Nathan Marcelo,1977-05-18,1.93,meio-campista,17
Rafael Willian,2015-09-11,1.52,atacante,4
Otávio Rafael,1961-01-02,2.08,lateral-direito,16
Nathan André,2010-12-18,1.75,meio-campista,10
João Thiago,1994-12-24,2.03,zagueiro,19
Willian Felipe,1958-10-18,1.57,zagueiro,14
André Lucas,1988-06-26,1.6,atacante,4
Willian Gustavo,2002-02-28,1.64,zagueiro,20
Thiago Thiago,2006-10-08,1.74,lateral-esquerdo,1
Paulo Diego,2004-04-04,1.93,volante,15
João Nathan,1951-10-26,1.74,atacante,7
Lucas Otávio,1960-02-22,1.89,lateral-esquerdo,8
Samuel Nathan,1975-03-12,1.86,atacante,7
Willian Samuel,1957-02-02,1.61,volante,7
Paulo Diego,1969-03-13,1.53,lateral-direito,16
Carlos Nathan,1995-10-26,2.01,lateral-esquerdo,20
Thiago Felipe,1966-06-21,1.77,atacante,12
Eduardo Samuel,1961-07-14,1.95,lateral-direito,18
André Eduardo,1950-07-10,1.94,atacante,12
Eduardo Henrique,2001-09-25,1.95,zagueiro,11
Rafael Thiago,1999-12-13,1.5,lateral-direito,17
Marcelo Victor,1956-10-08,1.84,goleiro,9
Thiago Igor,1966-07-17,2.07,goleiro,3
Marcelo Bruno,1973-09-22,1.7,lateral-esquerdo,17
Marcelo Igor,1961-09-11,1.77,goleiro,15
Thiago Paulo,1989-01-25,1.64,zagueiro,5
Lucas Victor,1991-07-19,1.55,zagueiro,4
Felipe Gustavo,1960-11-26,1.93,zagueiro,3
Nathan Samuel,2001-04-06,1.88,lateral-direito,7
Carlos Nathan,1950-11-16,1.93,zagueiro,20
Otávio Marcelo,1985-03-01,2.0,lateral-direito,11
Felipe Gustavo,1997-06-07,1.75,goleiro,17
Diego Henrique,1986-11-26,1.58,lateral-esquerdo,17
Rafael Rafael,1981-06-15,1.54,volante,14
Thiago Bruno,2019-02-03,1.8,atacante,5
Bruno Carlos,1963-11-18,1.95,zagueiro,10
Bruno Diego,1996-08-09,2.03,goleiro,19
Carlos Paulo,1951-12-06,1.87,goleiro,18
Rafael Henrique,1950-12-22,1.68,goleiro,16
Igor Otávio,1970-08-14,1.77,lateral-esquerdo,3
André Marcelo,2019-04-08,1.71,lateral-esquerdo,9
Nathan Willian,1968-06-13,1.54,lateral-esquerdo,10
Thiago Rafael,1976-11-07,1.58,meio-campista,19
Eduardo Victor,2005-11-10,1.59,zagueiro,13
Lucas Samuel,1979-06-08,2.07,volante,20
Bruno Felipe,2009-01-09,1.71,zagueiro,12
Marcelo Carlos,2012-09-09,1.79,lateral-esquerdo,7
Rafael Carlos,1952-09-25,1.58,meio-campista,10
Samuel Gustavo,1975-04-24,2.1,volante,12
Felipe Lucas,1972-07-22,1.9,meio-campista,12
Diego Henrique,1955-02-13,1.65,meio-campista,9
Lucas Samuel,1965-03-19,1.78,zagueiro,12
André Paulo,1971-08-02,1.58,lateral-direito,20
André Eduardo,1972-10-15,1.64,lateral-direito,3
Paulo Thiago,1975-12-07,1.57,lateral-esquerdo,10
Nathan Samuel,2007-05-28,2.08,lateral-esquerdo,19
João Otávio,1965-10-01,1.9,lateral-esquerdo,8
Marcelo Bruno,1969-06-22,1.67,volante,16
Diego Carlos,1950-01-03,1.57,atacante,11
Rafael Bruno,1987-10-24,1.54,goleiro,8
Eduardo Gustavo,1967-10-26,1.6,atacante,18
Felipe Felipe,2012-03-08,1.84,goleiro,7
Paulo Diego,1987-10-03,1.55,volante,4
Henrique Bruno,2007-04-24,1.54,atacante,12
Marcelo Samuel,1982-04-22,1.96,meio-campista,2
Eduardo André,2012-03-09,1.97,goleiro,20
Felipe Eduardo,1956-02-22,1.64,lateral-direito,16
Marcelo Thiago,2010-04-28,2.06,lateral-esquerdo,1
Otávio Otávio,2015-01-24,2.0,zagueiro,12
Igor Henrique,2002-11-02,1.61,volante,18
Lucas Willian,2005-10-08,1.83,lateral-direito,14
Eduardo Thiago,1998-11-28,1.62,lateral-direito,8
Willian Marcelo,1966-11-21,1.75,meio-campista,6
Bruno Diego,1971-09-06,1.69,atacante,16
Willian Willian,1957-01-15,1.97,lateral-direito,14
Gustavo Carlos,1983-08-17,1.77,meio-campista,19
João Thiago,1962-06-16,1.83,lateral-direito,3
Bruno Rafael,1987-05-13,1.61,zagueiro,3
Henrique Paulo,1978-07-24,1.64,goleiro,18
Diego Rafael,1978-03-23,1.56,lateral-esquerdo,9
André Gustavo,1965-10-26,2.09,meio-campista,8
Paulo Bruno,1976-11-01,2.02,lateral-esquerdo,15
André Nathan,1993-08-10,1.73,lateral-esquerdo,7
Felipe Igor,1953-04-18,1.81,zagueiro,15
Carlos Victor,1990-12-20,1.99,zagueiro,7
Diego Paulo,1971-12-07,1.62,zagueiro,6
Igor Carlos,1996-09-01,1.85,lateral-esquerdo,1
Igor Gustavo,1962-01-28,1.55,lateral-esquerdo,15
Otávio Thiago,1976-06-17,1.81,lateral-esquerdo,9
Carlos Otávio,1952-06-05,1.79,volante,2
Samuel João,1974-03-07,1.64,volante,3
Samuel Eduardo,2012-06-26,2.08,lateral-direito,20
Thiago Eduardo,1990-01-12,1.55,zagueiro,9
Otávio Thiago,2001-08-03,1.53,meio-campista,1
Gustavo Nathan,2009-12-04,1.92,goleiro,4
André Diego,1967-06-25,1.53,volante,19
Eduardo Nathan,1979-05-21,1.9,volante,8
Eduardo Lucas,1950-12-27,1.81,goleiro,13
Otávio Lucas,1985-12-22,1.73,zagueiro,8
Felipe Marcelo,2013-05-25,2.1,meio-campista,5
André Victor,1957-04-19,1.66,lateral-esquerdo,4
Carlos Igor,1983-09-08,1.63,lateral-esquerdo,13
Eduardo Willian,1997-04-27,1.9,lateral-direito,15
Henrique Eduardo,1995-01-19,1.92,volante,4
Bruno André,2010-01-21,1.61,volante,11
Rafael Gustavo,2002-02-19,1.95,zagueiro,3
Henrique Igor,1984-04-08,1.62,atacante,7
Victor Eduardo,2008-04-08,2.09,meio-campista,13
Thiago Diego,1955-12-23,1.61,goleiro,10
Henrique Felipe,2012-11-05,2.07,goleiro,12
Felipe Eduardo,1972-06-14,2.06,goleiro,9
Diego Lucas,1974-06-01,2.08,volante,6
Paulo Diego,2018-07-04,1.69,zagueiro,6
Rafael Eduardo,1956-10-21,1.59,lateral-direito,6
Bruno Willian,1977-06-01,1.88,goleiro,20
Bruno Eduardo,1956-05-09,1.94,lateral-esquerdo,3
Gustavo João,1998-07-13,1.52,atacante,10
Otávio Otávio,2013-07-20,1.73,zagueiro,18
Eduardo Nathan,1973-10-28,1.79,goleiro,6
Rafael João,2020-09-08,1.58,goleiro,6
Lucas Lucas,1953-02-20,1.85,zagueiro,20
Igor Otávio,2007-05-12,1.87,zagueiro,5
Felipe Willian,2018-02-19,1.75,atacante,12
Samuel Felipe,2004-06-18,2.07,meio-campista,9
Igor Bruno,1966-05-17,1.53,meio-campista,9
Willian Gustavo,1975-05-20,1.85,zagueiro,19
Victor Rafael,2012-09-02,1.85,zagueiro,20
Gustavo Otávio,1990-05-13,1.61,lateral-esquerdo,18
Carlos Felipe,1993-10-04,1.98,volante,8
Paulo Felipe,1955-09-08,2.04,lateral-direito,11
Rafael Henrique,1974-10-20,1.58,meio-campista,10
Lucas Otávio,1987-07-19,1.6,lateral-direito,18
Carlos Henrique,1969-01-25,1.53,meio-campista,12
Gustavo Samuel,1993-06-24,2.09,goleiro,2
Victor Nathan,1990-03-07,1.98,atacante,5
André Lucas,1968-03-01,1.55,lateral-direito,15
Willian Nathan,1959-10-24,1.61,goleiro,5
Gustavo Nathan,2001-08-07,1.66,meio-campista,14
Victor Victor,1957-07-28,2.08,meio-campista,9
Lucas Samuel,1963-08-08,1.62,zagueiro,11
Nathan Otávio,1968-09-08,1.58,atacante,1
Felipe Henrique,1990-01-22,1.82,zagueiro,13
Otávio Bruno,1967-02-02,1.63,meio-campista,10
André Gustavo,1953-04-22,1.56,lateral-direito,9
João Igor,1976-03-15,1.9,lateral-direito,4
Victor Thiago,1990-11-28,1.76,lateral-esquerdo,19
Eduardo Bruno,1978-04-20,1.6,volante,19
Igor Samuel,1972-08-03,1.54,zagueiro,13
João Marcelo,1953-10-09,2.02,lateral-direito,16
Victor Carlos,1998-03-07,1.54,atacante,9
Samuel Eduardo,1977-05-23,1.62,lateral-direito,19
Rafael Diego,2008-05-12,1.77,meio-campista,12
Rafael Bruno,2018-11-08,1.76,zagueiro,20
Thiago Marcelo,1976-10-02,2.04,meio-campista,7
Thiago Bruno,1996-01-25,1.63,volante,3
Diego Willian,1991-07-08,1.61,zagueiro,6
Bruno Gustavo,1951-10-16,1.82,goleiro,6
Diego Carlos,2007-07-13,1.59,lateral-direito,6
Samuel Eduardo,2014-10-17,1.97,goleiro,18
Samuel Samuel,1977-10-13,2.03,zagueiro,15
Bruno Otávio,2003-09-16,1.74,volante,19
Thiago Thiago,1990-05-01,1.72,atacante,20
Felipe Samuel,2020-04-14,1.67,zagueiro,10
André Willian,1971-03-10,1.66,zagueiro,20
Otávio Paulo,2011-03-10,1.54,lateral-esquerdo,16
Willian Diego,1951-05-24,2.06,meio-campista,17
Carlos André,1965-07-09,2.02,goleiro,6
Otávio Gustavo,1982-05-07,1.96,zagueiro,1
Nathan André,1953-04-11,1.81,meio-campista,17
Marcelo Felipe,1994-12-01,2.05,zagueiro,18
Felipe Samuel,1950-12-16,1.98,lateral-direito,3
Gustavo Gustavo,2004-05-17,1.63,zagueiro,19
Diego Nathan,2005-11-03,1.7,lateral-esquerdo,9
Marcelo Rafael,2010-08-12,1.66,zagueiro,2
Igor Carlos,1962-05-15,1.66,goleiro,6
Diego João,1998-12-18,1.95,goleiro,16
Willian Henrique,2019-04-04,2.08,meio-campista,18
Eduardo Carlos,1969-05-08,1.65,goleiro,6
Victor Samuel,1952-12-25,1.85,meio-campista,4
Victor Diego,1954-05-18,1.61,goleiro,19
Felipe Otávio,1964-04-13,2.03,volante,14
Nathan Igor,1952-05-10,1.9,atacante,15
Nathan Nathan,2017-06-06,1.6,zagueiro,19
Paulo Bruno,1968-02-23,1.7,lateral-direito,12
João Carlos,1988-11-16,2.0,meio-campista,13
Felipe Otávio,2002-09-13,1.85,lateral-direito,1
Marcelo Victor,1954-12-12,1.73,zagueiro,11
Carlos Marcelo,1998-05-15,1.99,volante,17
Felipe Rafael,2003-07-24,1.95,lateral-esquerdo,3
Victor Eduardo,1980-06-05,1.82,lateral-direito,12
João Gustavo,1999-04-17,1.55,zagueiro,12
Marcelo Henrique,1982-03-21,2.04,goleiro,14
Gustavo João,1964-12-23,2.04,meio-campista,3
Eduardo Thiago,1967-10-18,1.57,volante,1
Diego Eduardo,1978-03-14,2.01,volante,14
Carlos Felipe,1997-07-13,1.8,lateral-esquerdo,15
Samuel Carlos,2006-07-08,2.08,meio-campista,14
Diego João,1985-12-18,1.92,goleiro,4
Otávio Marcelo,1998-06-26,1.8,volante,16
Thiago Carlos,1976-04-06,2.06,volante,19
Victor Carlos,1954-04-15,1.72,atacante,8
Eduardo Eduardo,2002-05-15,1.63,goleiro,17
Felipe Nathan,1968-07-03,1.83,lateral-esquerdo,17
Igor Rafael,2020-01-18,1.62,volante,12
Willian Bruno,1975-06-04,1.55,meio-campista,20
Marcelo Samuel,1980-12-18,1.6,atacante,2
André Otávio,1961-10-20,1.87,zagueiro,14
Thiago Rafael,2019-08-01,1.54,goleiro,17
Paulo Felipe,1967-10-15,1.55,atacante,2
André Gustavo,1972-02-21,1.93,meio-campista,18
Bruno Nathan,1976-03-08,1.98,atacante,19
Otávio João,2005-06-16,1.86,goleiro,3
Henrique Carlos,2002-04-22,1.9,lateral-esquerdo,19
Otávio João,2018-09-19,1.75,goleiro,1
Felipe Paulo,2004-11-27,1.63,lateral-esquerdo,19
Henrique Willian,1980-06-19,1.52,volante,15
Willian Carlos,1972-06-23,1.75,lateral-direito,10
Felipe Otávio,1974-09-23,1.54,volante,12
João Nathan,1977-07-16,1.73,lateral-direito,15
Rafael Bruno,1994-08-20,2.05,lateral-esquerdo,14
Willian Paulo,1983-09-09,1.88,lateral-direito,7
Victor Nathan,2015-10-10,2.02,lateral-esquerdo,2
Nathan Carlos,1981-11-01,1.73,volante,10
Igor André,1955-04-05,1.54,volante,15
Lucas Victor,1966-03-23,1.57,volante,4
Paulo Willian,1983-10-18,1.5,atacante,7
Nathan Rafael,1953-02-08,2.07,meio-campista,3
Henrique Victor,1984-12-19,1.83,lateral-esquerdo,14
João Samuel,2014-05-08,1.65,atacante,4
Gustavo André,1985-11-19,1.9,lateral-direito,16
André Bruno,1990-12-08,1.85,meio-campista,7
Otávio Nathan,1960-12-18,1.56,lateral-direito,14
Carlos Felipe,2020-12-07,1.5,zagueiro,5
Victor Gustavo,1990-02-09,1.65,atacante,14
Marcelo André,1989-10-16,2.02,lateral-esquerdo,11
Otávio Thiago,2005-11-09,1.54,lateral-esquerdo,18
Diego Gustavo,1988-06-17,1.77,meio-campista,20
Igor Rafael,2000-07-07,1.98,volante,19
Otávio Henrique,1971-03-15,2.05,volante,18
Gustavo Samuel,1987-11-28,1.58,atacante,8
Eduardo Gustavo,2007-07-26,1.91,lateral-direito,12
Nathan Nathan,1967-03-16,1.61,atacante,19
Lucas André,1956-06-24,2.01,goleiro,6
Igor Igor,1969-04-08,1.54,meio-campista,7
Diego Gustavo,2004-03-16,1.63,lateral-direito,20
Victor Victor,2013-04-17,2.08,meio-campista,10
Bruno Victor,2010-03-25,2.1,lateral-esquerdo,17
Paulo Nathan,1995-12-24,1.68,lateral-direito,6
Paulo Lucas,2001-09-18,1.95,volante,16
Bruno Felipe,2016-04-16,1.54,meio-campista,11
Marcelo Felipe,1967-03-28,1.65,zagueiro,1
Thiago Igor,1953-01-10,2.06,atacante,11
João Paulo,1967-06-24,1.9,lateral-esquerdo,20
Thiago Victor,1984-06-18,1.88,volante,7
Samuel Carlos,1973-07-17,2.09,zagueiro,7
Carlos João,1976-01-12,1.93,zagueiro,3
